,Description,Location Description,Arrest,Domestic,District,Month,Day,Hour,Weekday
0,SIMPLE,STREET,False,False,8.0,5,1,14,4
1,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,False,4.0,7,7,0,1
2,$500 AND UNDER,APARTMENT,False,False,7.0,8,20,19,3
3,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,11.0,3,4,20,2
4,OVER $500,OTHER,False,False,25.0,9,26,12,5
5,TO VEHICLE,STREET,False,False,6.0,10,19,16,0
6,TO PROPERTY,APARTMENT,False,False,3.0,6,14,22,6
7,DOMESTIC BATTERY SIMPLE,STREET,False,False,6.0,8,15,22,5
8,$500 AND UNDER,STREET,False,False,25.0,6,24,0,2
9,TO VEHICLE,STREET,False,False,11.0,7,16,21,3
