,Description,Location Description,Arrest,Domestic,District,Month,Day,Hour,Weekday
0,SIMPLE,STREET,False,False,8.0,5,4,22,4
1,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,False,4.0,3,1,19,3
2,$500 AND UNDER,SIDEWALK,False,False,6.0,4,16,0,0
3,TO PROPERTY,APARTMENT,False,False,7.0,1,3,21,2
4,TO VEHICLE,OTHER,False,False,11.0,6,12,20,1
5,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,2.0,2,10,14,5
6,DOMESTIC BATTERY SIMPLE,STREET,False,False,10.0,4,21,20,5
7,$500 AND UNDER,STREET,False,False,7.0,3,13,12,1
8,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,25.0,10,7,18,6
9,TO VEHICLE,STREET,False,False,3.0,1,11,0,3
