,Description,Location Description,Arrest,Domestic,District,Month,Day,Hour,Weekday
0,SIMPLE,STREET,False,False,8.0,7,1,21,4
1,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,False,7.0,8,9,19,1
2,$500 AND UNDER,APARTMENT,False,False,11.0,6,25,22,5
3,TO PROPERTY,SIDEWALK,False,False,25.0,9,7,15,2
4,OVER $500,OTHER,False,False,4.0,5,2,18,0
5,TO VEHICLE,STREET,False,False,6.0,12,22,20,3
6,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,19.0,10,23,12,6
7,$500 AND UNDER,STREET,False,False,4.0,8,3,12,2
8,DOMESTIC BATTERY SIMPLE,STREET,False,False,3.0,6,23,15,3
9,TO VEHICLE,STREET,False,False,7.0,5,14,0,5
