,Description,Location Description,Arrest,Domestic,District,Month,Day,Hour,Weekday
0,SIMPLE,STREET,False,False,11.0,7,5,15,4
1,$500 AND UNDER,RESIDENCE,False,False,8.0,5,28,12,1
2,DOMESTIC BATTERY SIMPLE,APARTMENT,False,False,7.0,4,1,19,0
3,OVER $500,SIDEWALK,False,False,25.0,8,8,20,3
4,TO PROPERTY,OTHER,False,False,6.0,9,7,17,5
5,TO VEHICLE,STREET,False,False,4.0,1,20,18,6
6,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,3.0,6,19,21,2
7,$500 AND UNDER,STREET,False,False,6.0,8,14,19,2
8,DOMESTIC BATTERY SIMPLE,STREET,False,False,8.0,6,27,18,3
9,SIMPLE,RESIDENCE,False,False,4.0,6,1,20,5
