,Description,Location Description,Arrest,Domestic,District,Month,Day,Hour,Weekday
0,SIMPLE,STREET,False,False,8.0,7,16,20,4
1,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,False,7.0,5,19,19,2
2,$500 AND UNDER,SIDEWALK,False,False,11.0,8,23,21,0
3,OVER $500,APARTMENT,False,False,25.0,9,21,18,1
4,TO VEHICLE,STREET,False,False,4.0,6,10,13,3
5,TO PROPERTY,RESIDENCE,False,False,6.0,3,20,0,5
6,AUTOMOBILE,STREET,False,False,9.0,4,4,15,6
7,DOMESTIC BATTERY SIMPLE,STREET,False,False,4.0,3,9,22,1
8,$500 AND UNDER,STREET,False,False,25.0,5,6,0,3
9,OVER $500,STREET,False,False,3.0,8,11,15,2
