,Description,Location Description,Arrest,Domestic,District,Month,Day,Hour,Weekday
0,SIMPLE,STREET,False,False,11.0,7,8,18,4
1,$500 AND UNDER,RESIDENCE,False,False,8.0,8,27,12,5
2,DOMESTIC BATTERY SIMPLE,APARTMENT,False,False,4.0,6,20,15,0
3,OVER $500,SIDEWALK,False,False,6.0,5,18,20,2
4,TO VEHICLE,OTHER,False,False,12.0,10,4,19,1
5,TO PROPERTY,RESIDENCE,False,False,25.0,9,22,22,3
6,AUTOMOBILE,STREET,False,False,7.0,1,24,17,6
7,$500 AND UNDER,STREET,False,False,6.0,6,16,19,3
8,DOMESTIC BATTERY SIMPLE,STREET,False,False,25.0,10,15,20,5
9,TO VEHICLE,STREET,False,False,8.0,9,5,16,0
