,Description,Location Description,Arrest,Domestic,District,Month,Day,Hour,Weekday
0,SIMPLE,STREET,False,False,7.0,6,1,19,4
1,$500 AND UNDER,RESIDENCE,False,False,8.0,7,11,18,2
2,DOMESTIC BATTERY SIMPLE,APARTMENT,False,False,11.0,5,15,22,1
3,OVER $500,SIDEWALK,False,False,4.0,3,26,20,0
4,TO VEHICLE,STREET,False,False,6.0,10,7,21,6
5,TO PROPERTY,RESIDENCE,False,False,25.0,8,4,0,5
6,AUTOMOBILE,STREET,False,False,12.0,9,13,17,3
7,$500 AND UNDER,STREET,False,False,4.0,5,3,12,3
8,DOMESTIC BATTERY SIMPLE,STREET,False,False,8.0,9,23,0,6
9,TO VEHICLE,STREET,False,False,11.0,8,29,15,2
