,Description,Location Description,Arrest,Domestic,District,Month,Day,Hour,Weekday
0,SIMPLE,STREET,False,False,11.0,8,15,19,5
1,$500 AND UNDER,RESIDENCE,False,False,8.0,10,23,12,4
2,DOMESTIC BATTERY SIMPLE,APARTMENT,False,False,6.0,7,9,20,3
3,OVER $500,SIDEWALK,False,False,7.0,9,22,21,1
4,TO VEHICLE,OTHER,False,False,25.0,5,17,18,6
5,TO PROPERTY,RESIDENCE,False,False,9.0,4,1,15,2
6,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),False,False,4.0,6,29,13,0
7,$500 AND UNDER,STREET,False,False,4.0,7,21,18,1
8,DOMESTIC BATTERY SIMPLE,STREET,False,False,7.0,5,25,22,0
9,TO VEHICLE,STREET,False,False,6.0,6,19,21,4
