,Description,Location Description,Arrest,Domestic,District,Month,Day,Hour,Weekday
0,SIMPLE,STREET,False,False,8.0,7,12,22,4
1,$500 AND UNDER,RESIDENCE,False,False,11.0,8,1,21,3
2,OVER $500,APARTMENT,False,False,2.0,5,7,18,1
3,TO PROPERTY,SIDEWALK,False,False,25.0,10,19,20,5
4,TO VEHICLE,OTHER,False,False,7.0,9,25,12,2
5,$500 AND UNDER,STREET,False,False,2.0,6,15,12,5
6,AUTOMOBILE,STREET,False,False,12.0,11,4,0,0
7,TO VEHICLE,STREET,False,False,4.0,10,1,19,1
8,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,6.0,4,21,17,6
9,OVER $500,STREET,False,False,25.0,8,14,0,2
