,Description,Location Description,Arrest,Domestic,District,Month,Day,Hour,Weekday
0,SIMPLE,STREET,False,False,8.0,7,7,20,4
1,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,False,4.0,8,1,0,1
2,$500 AND UNDER,SIDEWALK,False,False,7.0,5,10,21,2
3,TO PROPERTY,APARTMENT,False,False,11.0,6,22,19,3
4,TO VEHICLE,OTHER,False,False,25.0,10,21,18,5
5,OVER $500,STREET,False,False,6.0,9,11,15,0
6,FROM BUILDING,STREET,False,False,9.0,11,12,12,6
7,DOMESTIC BATTERY SIMPLE,STREET,False,False,11.0,5,27,12,5
8,TO VEHICLE,STREET,False,False,7.0,8,17,22,3
9,$500 AND UNDER,STREET,False,False,3.0,10,24,19,1
