,Description,Location Description,Arrest,Domestic,District,Month,Day,Hour,Weekday
0,SIMPLE,STREET,False,False,8.0,8,15,20,4
1,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,False,11.0,7,9,22,2
2,$500 AND UNDER,APARTMENT,False,False,7.0,4,1,0,1
3,TO VEHICLE,SIDEWALK,False,False,4.0,5,17,18,5
4,TO PROPERTY,OTHER,False,False,25.0,6,23,19,0
5,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,9.0,10,19,12,6
6,$500 AND UNDER,STREET,False,False,11.0,10,16,21,3
7,DOMESTIC BATTERY SIMPLE,STREET,False,False,2.0,5,20,12,1
8,TO VEHICLE,STREET,False,False,25.0,9,3,0,2
9,OVER $500,STREET,False,False,6.0,7,12,19,5
