,Description,Location Description,Arrest,Domestic,District,Month,Day,Hour,Weekday
0,$500 AND UNDER,STREET,False,False,11.0,8,1,19,4
1,SIMPLE,RESIDENCE,False,False,8.0,7,19,22,5
2,DOMESTIC BATTERY SIMPLE,APARTMENT,False,False,6.0,6,25,21,2
3,OVER $500,SIDEWALK,False,False,25.0,10,20,17,0
4,TO PROPERTY,OTHER,False,False,4.0,9,30,12,1
5,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),False,False,3.0,5,22,15,3
6,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,9.0,4,27,18,6
7,SIMPLE,STREET,False,False,4.0,5,21,20,2
8,DOMESTIC BATTERY SIMPLE,STREET,False,False,7.0,7,3,12,3
9,OVER $500,STREET,False,False,8.0,6,15,15,6
