,Description,Location Description,Arrest,Domestic,District,Month,Day,Hour,Weekday
0,SIMPLE,STREET,False,False,8.0,8,1,20,4
1,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,False,6.0,7,22,0,1
2,TO VEHICLE,APARTMENT,False,False,7.0,6,11,12,2
3,$500 AND UNDER,SIDEWALK,False,False,11.0,10,18,21,5
4,TO PROPERTY,OTHER,False,False,4.0,9,29,19,0
5,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,25.0,5,15,15,3
6,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,9.0,1,13,22,6
7,DOMESTIC BATTERY SIMPLE,STREET,False,False,11.0,5,21,22,2
8,$500 AND UNDER,STREET,False,False,7.0,9,25,0,3
9,TO VEHICLE,STREET,False,False,25.0,7,26,18,5
